aaa	bbb	ccc	ddd	eee	fff	ggg	hhh	abc	bbb	xxx	sss	qqq	CODE	zzz	rrr	ttt	ooo	iii	ppp
4	96938	160344	33817355275		07-Apr-2001 19:45:54	31-Mar-2016 02:48:46	3950583	1886615	H	MYB_CTA	1901466				67298ea3-972b-49c5-b825-a33132d9a58c	v.mitchell@randatmail.com			20-Mar-2014 09:34:28
4	36989	4355942	10014452264		19-Jan-2008 03:15:38	04-Jan-2000 01:45:34	260240	8076487	H	MYB_CTA	9981869				47a5e175-52c1-4346-bc8e-0c5d18e8869f	a.brown@randatmail.com			23-Jul-2014 08:38:19
10	51186	2053743	74842659498		30-Sep-2007 11:46:25	02-Apr-2020 12:13:13	3002156	5337142	H	MYB_CTA	6440794				24731e6b-9980-4c6d-8b37-3c44ea6c8d8a	l.hunt@randatmail.com			14-May-2015 22:26:05
8	92665	8519554	61343170738		31-Jul-1997 13:59:52	19-Sep-2016 18:29:33	1105027	8665065	H	MYB_CTA	2498551				963aa672-7fd4-4cd6-b63a-8c4f0091e619	j.holmes@randatmail.com			11-Sep-2000 08:16:40
2	93814	6001448	26562273042		05-Feb-1993 14:04:08	06-Mar-2021 11:27:20	8811141	3747900	H	MYB_CTA	6824680				7e72896e-4c14-4f75-a128-7336eec78632	l.allen@randatmail.com			25-Apr-2005 00:12:03
8	32773	801489	272247388		09-Sep-1994 16:37:32	21-Apr-2015 04:26:55	2508563	6418800	H	MYB_CTA	5336998				02941765-5885-4253-82c1-6690c6a63514	p.richards@randatmail.com			17-Mar-2020 21:44:14
4	92457	5198315	28923771431		14-Aug-2008 10:55:46	30-Jun-2002 07:13:23	6714175	2438005	H	MYB_CTA	3414302				00aeed08-4f8f-4399-9916-5c5a619ca74b	a.clark@randatmail.com			19-Jul-2002 06:21:52
2	97780	7206187	23971961187		01-Oct-2002 12:00:06	07-Apr-2005 08:32:14	6706941	466819	H	MYB_CTA	619484				80877fb1-1e8a-4f60-9ac2-e6e522c05130	w.crawford@randatmail.com			31-Mar-2000 04:17:47
6	64644	2991635	89197239087		20-Sep-1995 15:07:38	03-Apr-2001 18:58:37	5589534	9198674	H	MYB_CTA	3799718				b00fbae9-25e0-4080-a476-527a137e9792	h.campbell@randatmail.com			10-Oct-2004 15:46:14
10	92005	2481707	87750380828		01-Feb-1990 20:02:14	24-Jun-2000 06:28:33	1013474	6612720	H	MYB_CTA	5422035				0939bae0-f02a-4a35-aa83-ccf5b5e10d31	t.morgan@randatmail.com			05-Oct-2003 16:28:59
2	31111	4460296	20340549376		06-Mar-2006 23:14:08	23-Dec-2005 16:44:17	566077	4307380	H	MYB_CTA	661356				fde7ab96-7b27-4662-badf-c589e9461e9c	e.russell@randatmail.com			06-Apr-2018 11:45:02
6	13998	2983511	7739800181		18-Dec-1990 01:46:20	01-Sep-2005 00:04:10	6088827	1694897	H	MYB_CTA	1526013				6e8e93de-0a4b-4a26-a55d-063822c5fc28	r.johnson@randatmail.com			25-May-2018 06:13:22
7	99628	5690995	90544233783		22-Aug-2006 04:05:15	06-Dec-2012 22:29:01	7052959	5635269	H	MYB_CTA	1261566				ae5395f4-8275-4d89-a9d6-bb07f9b358be	a.andrews@randatmail.com			13-Aug-2010 20:34:57
1	26567	7558126	11789610282		15-Jul-1998 00:58:47	13-May-2014 15:42:46	6009769	2328380	H	MYB_CTA	542960				57675fb0-6143-4a57-b450-c7987f9b4a0d	f.brown@randatmail.com			03-Aug-2015 10:51:25
5	21155	6462823	49166388294		28-Oct-2003 12:43:23	23-Sep-2014 17:43:46	4860962	5025052	H	MYB_CTA	73865				04552fbb-eb87-486d-918f-4fca1c7e5408	c.owens@randatmail.com			28-Nov-2004 00:56:15
4	81051	3773252	67779343317		24-Jun-1997 00:46:23	24-Apr-2013 17:05:18	7304816	6981598	H	MYB_CTA	4085572				c0058c05-e55a-4979-aad2-fc1d5e3bb6a6	c.barnes@randatmail.com			28-Mar-2019 12:22:36
9	21524	5330997	29932638763		14-Apr-1992 10:17:15	12-Jun-2001 22:22:26	4243227	5604008	H	MYB_CTA	9346180				b27e64b7-d78e-4720-89d3-596b14c3aa2e	j.turner@randatmail.com			13-Jun-2008 19:48:19
4	35254	4499614	94310948729		12-Jan-2004 12:18:51	09-Oct-2009 18:52:19	3378032	57155	H	MYB_CTA	2860424				fbbf2205-89a6-4dc6-ba4e-8aa297f479ed	s.richards@randatmail.com			26-Sep-2013 04:02:22
6	5999	3311711	42284852067		02-Jan-2000 23:11:19	24-Jul-2017 08:01:09	2450713	1129535	H	MYB_CTA	4091546				790dcbd0-f5d2-4556-8412-28222869ae77	a.farrell@randatmail.com			14-Oct-2018 17:47:02
