aaa	bbb	ccc	ddd	eee	fff	ggg	hhh	abc	bbb	xxx	sss	qqq	CODE	zzz	rrr	ttt	ooo	iii	ppp	mmm
5	80967	7019453	34323665689	73610349	03-Oct-1990 22:43:25	05-Sep-2008 12:58:06	1496684	1894929	H	SP:Spam Complaint	a.stewart@randatmail.com	Comcast	i.robinson@randatmail.com	2	s.hawkins@randatmail.com	27-Apr-2007 22:20:25			a.reed@randatmail.com	
8	67449	2492673	59942448245	59972362	06-Jun-2006 05:16:17	05-May-2011 17:49:33	6523021	9940483	H	SP:Spam Complaint	a.warren@randatmail.com	Comcast	a.stewart@randatmail.com	7	h.stevens@randatmail.com	05-Apr-2001 15:40:08			j.brown@randatmail.com	
9	70698	9544146	22171674764	4774094	24-Jun-2009 22:23:39	23-May-2020 23:30:13	8371781	4023738	H	SP:Spam Complaint	a.robinson@randatmail.com	Comcast	c.williams@randatmail.com	9	m.ellis@randatmail.com	27-Feb-2016 11:14:41			m.smith@randatmail.com	
5	54351	3826397	63389475608	67964857	08-Oct-2009 01:35:42	08-Jun-2011 02:33:25	3665992	3412349	H	SP:Spam Complaint	a.brown@randatmail.com	Comcast	m.cole@randatmail.com	8	b.chapman@randatmail.com	17-May-2009 14:49:25			e.montgomery@randatmail.com	
7	95075	7422100	89376209187	91524941	03-Oct-1996 22:56:27	20-Jun-2001 18:44:04	7215278	4078454	H	SP:Spam Complaint	j.edwards@randatmail.com	Comcast	a.phillips@randatmail.com	3	e.thomas@randatmail.com	17-Nov-2008 03:22:09			e.payne@randatmail.com	
1	28637	5744147	64365597392	29813291	04-Jun-2007 19:08:21	04-Aug-2008 10:15:28	6019387	9856466	H	SP:Spam Complaint	a.wilson@randatmail.com	Comcast	l.gray@randatmail.com	2	h.higgins@randatmail.com	06-Apr-2007 09:06:07			e.phillips@randatmail.com	
1	81030	8277973	83383368720	14885611	03-Aug-2003 04:03:36	22-Aug-2021 13:34:06	2987090	6835993	H	SP:Spam Complaint	j.elliott@randatmail.com	Comcast	s.murphy@randatmail.com	8	e.richards@randatmail.com	07-Jul-2011 17:01:32			d.perry@randatmail.com	
7	6096	5500106	75936363776	86639369	05-Oct-1997 09:51:21	09-Aug-2011 22:20:56	1550214	3173243	H	SP:Spam Complaint	b.perry@randatmail.com	Comcast	a.owens@randatmail.com	6	t.morgan@randatmail.com	12-Jun-2007 12:19:15			a.cameron@randatmail.com	
2	61829	1662905	22761069188	47137770	04-Jul-2002 14:26:34	28-Sep-2016 06:26:37	1847170	8985239	H	SP:Spam Complaint	a.carter@randatmail.com	Comcast	l.gray@randatmail.com	2	a.andrews@randatmail.com	16-Sep-2002 12:12:40			f.carter@randatmail.com	
7	41290	7400459	41675302973	41940700	13-Feb-2009 18:23:29	26-Nov-2017 01:45:34	8346952	2190104	H	SP:Spam Complaint	d.riley@randatmail.com	Comcast	a.nelson@randatmail.com	7	t.morgan@randatmail.com	24-Feb-2006 09:21:22			l.allen@randatmail.com	
10	92735	520486	72125365566	91364643	11-Nov-2004 07:14:26	14-Jun-2010 08:35:48	4021692	8703924	H	SP:Spam Complaint	a.wilson@randatmail.com	Comcast	m.allen@randatmail.com	3	h.cole@randatmail.com	10-Apr-2007 04:48:23			l.allen@randatmail.com	
2	37723	3851482	47253599380	12944548	26-Jan-1990 22:18:17	01-Oct-2019 22:43:06	3808464	5854809	H	SP:Spam Complaint	a.gibson@randatmail.com	Comcast	a.brown@randatmail.com	5	l.casey@randatmail.com	02-Dec-2011 03:30:49			a.clark@randatmail.com	
6	23564	9514467	86686773834	58656054	21-Aug-2008 06:14:11	08-May-2005 12:30:17	6904648	6587132	H	SP:Spam Complaint	v.adams@randatmail.com	Comcast	h.ellis@randatmail.com	5	o.moore@randatmail.com	27-May-2008 08:44:24			a.brown@randatmail.com	
7	36582	9587491	54478310434	11046208	11-Aug-2008 20:01:26	05-Jul-2015 21:57:31	9285663	1478092	H	SP:Spam Complaint	e.harrison@randatmail.com	Comcast	t.gray@randatmail.com	7	a.brown@randatmail.com	06-Jun-2009 23:59:28			l.perkins@randatmail.com	
2	24395	1640048	62193903096	20950419	30-Oct-1992 16:30:12	17-Aug-2007 19:16:39	3912166	177544	H	SP:Spam Complaint	a.barrett@randatmail.com	Comcast	a.brooks@randatmail.com	1	c.stewart@randatmail.com	31-Mar-2016 15:47:47			a.reed@randatmail.com	
4	68623	5281747	84418843962	49550471	06-Nov-1997 20:28:08	23-Feb-2002 10:40:22	2552096	1126874	H	SP:Spam Complaint	k.spencer@randatmail.com	Comcast	a.nelson@randatmail.com	8	a.barrett@randatmail.com	02-Nov-2012 02:27:51			m.fowler@randatmail.com	
8	60605	6253604	41855161760	53701976	26-Feb-2009 22:50:29	05-May-2019 00:28:50	1252426	708921	H	SP:Spam Complaint	a.cole@randatmail.com	Comcast	l.nelson@randatmail.com	7	a.kelly@randatmail.com	07-May-2005 12:22:35			e.howard@randatmail.com	
7	28288	5571954	64460576498	61202534	14-Nov-2007 05:20:17	19-Apr-2003 15:24:33	8363567	5298887	H	SP:Spam Complaint	a.cole@randatmail.com	Comcast	e.grant@randatmail.com	8	s.wright@randatmail.com	18-Jun-2009 19:45:58			c.barnes@randatmail.com	
3	32626	7590732	68470894663	44614312	14-Feb-2003 01:43:17	17-Dec-2015 19:13:04	8793327	7651724	H	SP:Spam Complaint	m.brown@randatmail.com	Comcast	e.baker@randatmail.com	9	m.cole@randatmail.com	14-Nov-2020 21:25:03			l.hunt@randatmail.com	
1	79865	1256843	17084342131	22540156	17-Jun-1998 16:04:17	26-Sep-2006 10:51:37	9027508	3525834	H	SP:Spam Complaint	b.chapman@randatmail.com	Comcast	e.harrison@randatmail.com	2	m.ross@randatmail.com	14-Jul-2014 12:29:39			a.andrews@randatmail.com	
5	88613	9098566	10569954086	78647348	28-Dec-2005 08:41:10	10-Feb-2020 21:47:45	5495553	4563949	H	SP:Spam Complaint	p.richards@randatmail.com	Comcast	s.adams@randatmail.com	6	m.cole@randatmail.com	19-Mar-2003 08:08:46			n.tucker@randatmail.com	
3	68705	1282424	76306268114	8892163	22-Jun-1996 08:55:10	31-Dec-2019 01:02:43	9018789	2884424	H	SP:Spam Complaint	f.brown@randatmail.com	Comcast	k.taylor@randatmail.com	9	a.cole@randatmail.com	04-Aug-2015 07:54:51			l.casey@randatmail.com	
2	32034	8109357	31480139417	99007268	29-Oct-2005 22:55:19	29-Mar-2018 09:47:03	4515238	9321115	H	SP:Spam Complaint	j.turner@randatmail.com	Comcast	m.cole@randatmail.com	9	s.hawkins@randatmail.com	24-Jan-2018 08:17:42			e.casey@randatmail.com	
2	29736	5533839	75625239757	47187058	04-Jan-2000 23:51:19	11-Jul-2018 22:41:17	5586284	1649733	H	SP:Spam Complaint	l.farrell@randatmail.com	Comcast	m.roberts@randatmail.com	9	c.cole@randatmail.com	18-Jul-2002 02:28:20			v.adams@randatmail.com	
9	4020	6686435	59249353320	11906918	25-Aug-1996 09:26:02	24-Aug-2017 11:22:51	5403123	6090203	H	SP:Spam Complaint	g.roberts@randatmail.com	Comcast	a.riley@randatmail.com	7	a.riley@randatmail.com	01-Aug-2017 09:41:47			m.walker@randatmail.com	
3	14023	5270436	32588415353	61975362	06-Jun-1997 12:19:26	27-Oct-2021 03:46:21	5720583	4334039	H	SP:Spam Complaint	r.johnson@randatmail.com	Comcast	a.anderson@randatmail.com	5	p.richards@randatmail.com	20-Mar-2000 19:34:01			k.robinson@randatmail.com	
5	98846	1015391	61588296169	85822936	13-Apr-1991 11:55:28	16-Nov-2007 07:18:53	2496957	2329717	H	SP:Spam Complaint	e.baker@randatmail.com	Comcast	l.perkins@randatmail.com	9	r.johnson@randatmail.com	08-Sep-2010 11:55:49			p.richards@randatmail.com	
8	96763	5023890	20230409901	32219347	28-Feb-1997 00:11:13	11-May-2020 08:36:41	2604895	5546506	H	SP:Spam Complaint	i.perry@randatmail.com	Comcast	a.foster@randatmail.com	3	t.dixon@randatmail.com	08-Jun-2000 06:01:16			l.gray@randatmail.com	
8	19699	8761604	76954703698	25450160	05-Aug-2000 06:07:55	05-Sep-2013 20:02:19	1075419	4850192	H	SP:Spam Complaint	n.johnston@randatmail.com	Comcast	a.lloyd@randatmail.com	1	e.russell@randatmail.com	05-Oct-2004 07:53:26			a.crawford@randatmail.com	
4	71297	296048	8379030291	55285805	22-Oct-1991 00:25:33	08-May-2010 21:34:56	577000	7165298	H	SP:Spam Complaint	t.gray@randatmail.com	Comcast	f.parker@randatmail.com	2	e.ryan@randatmail.com	27-Sep-2010 07:41:01			o.moore@randatmail.com	
1	5103	9236113	27832471216	61945325	14-Jun-2001 21:56:36	09-Aug-2016 05:08:33	3668395	3729413	H	SP:Spam Complaint	m.howard@randatmail.com	Comcast	m.ross@randatmail.com	8	k.spencer@randatmail.com	17-Aug-2006 18:15:32			a.ferguson@randatmail.com	
1	59752	1773006	42483145130	32517326	14-Jul-2009 10:49:03	19-Dec-2006 03:04:52	5516353	6922929	H	SP:Spam Complaint	m.gray@randatmail.com	Comcast	e.montgomery@randatmail.com	6	g.roberts@randatmail.com	22-Oct-2007 17:42:49			c.russell@randatmail.com	
10	97788	4094744	833072250	67375222	15-Mar-1999 21:32:32	25-Aug-2018 10:25:17	5484544	2575443	H	SP:Spam Complaint	c.williams@randatmail.com	Comcast	s.hawkins@randatmail.com	8	a.cameron@randatmail.com	13-Aug-2018 14:20:56			f.morgan@randatmail.com	
